"Gruppe";"ValgstedId";"KredsNr";"StorKredsNr";"LandsdelsNr";"EV1979 - Stemmeberettigede";"EV1979 - Afgivne stemmer";"EV1979 - Blanke stemmer";"EV1979 - Andre ugyldige stemmer";"EV1979 - Gyldige stemmer";"EV1979 - A. Socialdemokratiet";"EV1979 - B. Det Radikale Venstre";"EV1979 - C. Det Konservative Folkeparti";"EV1979 - E. Danmarks Retsforbund";"EV1979 - F. Socialistisk Folkeparti";"EV1979 - M. Centrum-Demokraterne";"EV1979 - N. Folkebevægelsen mod EF";"EV1979 - Q. Kristeligt Folkeparti";"EV1979 - V. Venstre, Danmarks Liberale Parti";"EV1979 - Y. Venstresocialisterne";"EV1979 - Z. Fremskridtspartiet"
"169011";"169011";"23";"4";"2";"2021";"902";"19";"5";"878";"265";"24";"140";"22";"40";"51";"214";"6";"52";"32";"32"
"169012";"169012";"23";"4";"2";"3024";"1468";"35";"3";"1430";"351";"61";"216";"43";"81";"91";"363";"9";"104";"52";"59"
"169013";"169013";"23";"4";"2";"393";"225";"5";"0";"220";"47";"17";"27";"12";"6";"13";"40";"0";"39";"8";"11"
"169102";"169102";"23";"4";"2";"1091";"561";"8";"2";"551";"111";"18";"123";"23";"32";"42";"134";"4";"23";"29";"12"
"169109";"169109";"23";"4";"2";"1551";"793";"15";"3";"775";"134";"15";"102";"33";"37";"51";"193";"11";"110";"24";"65"
"169111";"169111";"23";"4";"2";"863";"441";"10";"0";"431";"132";"7";"70";"23";"13";"9";"115";"5";"29";"11";"17"
"171001";"171001";"22";"4";"2";"644";"375";"3";"1";"371";"60";"16";"76";"7";"15";"24";"85";"2";"46";"14";"26"
"171002";"171002";"22";"4";"2";"3912";"2054";"45";"3";"2006";"410";"52";"291";"97";"165";"153";"542";"10";"127";"61";"98"
"171103";"171103";"22";"4";"2";"420";"207";"2";"0";"205";"30";"0";"50";"4";"4";"8";"41";"1";"52";"6";"9"
"173001";"173001";"21";"4";"2";"3470";"1865";"38";"8";"1819";"454";"46";"455";"65";"67";"116";"394";"18";"65";"64";"75"
"173002";"173002";"21";"4";"2";"5323";"2934";"45";"21";"2868";"704";"109";"536";"108";"152";"149";"780";"13";"89";"115";"113"
"173003";"173003";"21";"4";"2";"4912";"2967";"59";"4";"2904";"527";"120";"610";"124";"185";"178";"692";"7";"168";"178";"115"
"173004";"173004";"21";"4";"2";"3389";"2006";"33";"4";"1969";"341";"77";"533";"60";"83";"165";"386";"19";"88";"103";"114"
"173005";"173005";"21";"4";"2";"1372";"891";"25";"1";"865";"140";"30";"294";"21";"37";"64";"143";"2";"38";"44";"52"
"173006";"173006";"21";"4";"2";"4903";"3258";"41";"14";"3203";"357";"143";"1213";"81";"93";"298";"485";"27";"194";"109";"203"
"173007";"173007";"21";"4";"2";"3988";"2732";"47";"4";"2681";"341";"157";"951";"74";"108";"271";"393";"13";"156";"87";"130"
"173008";"173008";"21";"4";"2";"3563";"2190";"29";"6";"2155";"393";"98";"633";"66";"98";"177";"422";"6";"107";"70";"85"
"173009";"173009";"21";"4";"2";"3255";"2115";"36";"2";"2077";"279";"103";"631";"53";"90";"203";"369";"19";"145";"73";"112"
"173010";"173010";"21";"4";"2";"3863";"2317";"40";"6";"2271";"539";"98";"440";"104";"118";"147";"506";"16";"98";"93";"112"
"173105";"173105";"21";"4";"2";"3222";"1729";"20";"12";"1697";"374";"62";"446";"53";"68";"106";"363";"10";"76";"61";"78"
"173111";"173111";"21";"4";"2";"84";"49";"1";"0";"48";"11";"0";"1";"1";"3";"0";"27";"0";"1";"4";"0"
"175002";"175002";"28";"4";"2";"2523";"1444";"32";"6";"1406";"445";"25";"101";"76";"113";"50";"478";"8";"23";"49";"38"
"175003";"175003";"28";"4";"2";"3770";"1998";"33";"6";"1959";"458";"47";"291";"55";"140";"103";"606";"19";"53";"81";"106"
"175004";"175004";"28";"4";"2";"4048";"2066";"40";"12";"2014";"551";"32";"169";"110";"131";"85";"728";"6";"42";"95";"65"
"175005";"175005";"28";"4";"2";"3098";"1485";"17";"5";"1463";"400";"25";"122";"83";"105";"51";"530";"7";"34";"59";"47"
"175006";"175006";"28";"4";"2";"3597";"1968";"32";"2";"1934";"466";"51";"317";"78";"116";"106";"544";"14";"77";"63";"102"
"175007";"175007";"28";"4";"2";"4482";"2508";"45";"11";"2452";"652";"55";"267";"116";"162";"126";"762";"27";"70";"96";"119"
"175008";"175008";"28";"4";"2";"4322";"2429";"38";"10";"2381";"556";"60";"255";"142";"169";"143";"787";"18";"66";"79";"106"
"175101";"175101";"28";"4";"2";"3079";"1652";"33";"7";"1612";"428";"41";"223";"60";"90";"77";"499";"9";"40";"57";"88"
